更新时间,#genre#
2026-03-04 14:37:02,url


央视频道,#genre#
CCTV风云足球[1920x1080],http://113.111.109.217:4022/udp/239.253.43.20:5146
CCTV风云足球[1920x1080],http://113.104.186.190:7088/udp/239.253.43.14:5146
CCTV风云足球[1920x1080],http://113.104.186.190:7088/udp/239.253.43.20:5146
CCTV风云足球[1920x1080],http://113.111.109.217:4022/udp/239.253.43.14:5146
CCTV风云足球[1920x1080],http://113.111.109.217:4022/udp/239.253.43.20:5146
CCTV风云音乐[1920x1080],http://113.104.186.190:7088/udp/239.253.43.29:5146
CCTV风云音乐[1920x1080],http://113.104.186.190:7088/udp/239.253.43.6:5146
CCTV风云音乐[1920x1080],http://113.111.109.217:4022/udp/239.253.43.29:5146
CCTV风云音乐[1920x1080],http://113.111.109.217:4022/udp/239.253.43.6:5146
CCTV高尔夫·网球[1920x1080],http://113.104.186.190:7088/udp/239.253.43.12:5146
CCTV高尔夫·网球[1920x1080],http://113.104.186.190:7088/udp/239.253.43.22:5146
CCTV高尔夫·网球[1920x1080],http://113.111.109.217:4022/udp/239.253.43.12:5146
CCTV高尔夫·网球[1920x1080],http://113.111.109.217:4022/udp/239.253.43.22:5146

卫视频道,#genre#
三沙卫视[1920x1080],http://113.104.186.190:7088/udp/239.253.43.113:5146
三沙卫视[1920x1080],http://113.111.109.217:4022/udp/239.253.43.113:5146
东南卫视[1920x1080],http://113.104.186.190:7088/udp/239.77.0.146:5146
东南卫视[1920x1080],http://113.104.186.190:7088/udp/239.77.1.104:5146
东南卫视[1920x1080],http://113.111.109.217:4022/udp/239.77.0.146:5146
东南卫视[1920x1080],http://113.111.109.217:4022/udp/239.77.1.104:5146
东方卫视[1920x1080],http://113.111.109.217:4022/udp/239.77.1.156:5146
东方卫视[1920x1080],http://113.104.186.190:7088/udp/239.77.0.98:5146
东方卫视[1920x1080],http://113.104.186.190:7088/udp/239.77.1.156:5146
东方卫视[1920x1080],http://113.104.186.190:7088/udp/239.77.1.218:5146
东方卫视[1920x1080],http://113.111.109.217:4022/udp/239.77.0.98:5146
东方卫视[1920x1080],http://113.111.109.217:4022/udp/239.77.1.156:5146
东方卫视[1920x1080],http://113.111.109.217:4022/udp/239.77.1.218:5146
云南卫视[1920x1080],http://113.104.186.190:7088/udp/239.253.43.100:5146
云南卫视[1920x1080],http://113.104.186.190:7088/udp/239.253.43.100:5146
云南卫视[1920x1080],http://113.104.186.190:7088/udp/239.253.43.37:5146
云南卫视[1920x1080],http://113.111.109.217:4022/udp/239.253.43.100:5146
